记录时间,商家,货品,金额
2025-11-22 01:15:50,天猫3m沃佳专卖店,3M电工胶布1500#1600绝缘胶,¥2.98
2025-11-22 01:17:18,天猫陕联电工旗舰店,国标纯铜电线软线家用BVVB白,¥11.52
2025-11-22 01:19:37,淘工厂天天特卖工厂,尼龙扎带塑料勒死狗卡扣,￥1.96
2025-11-22 01:28:16,天猫宗意旗舰店,升级款12.5*12.5吸盘定位片,￥11.73
2025-11-22 01:28:16,天猫京纬旗舰店,装线槽pvc明线隐形网线走线神,￥15.9
2025-11-22 01:29:09,腾鑫劳保包装材料店,点塑手套防滑点胶手套黄兰PVC,￥39.8
2025-11-22 01:29:09,苜蓿百货工厂家居收纳,德国21合一多功能剥线钳电工专用,￥5.7
2025-11-22 12:25:35,天猫烁宇照明旗舰店,高压220v自粘led,¥366.65
2025-11-22 12:26:14,淘宝至真至诚朗能开关插座平价店,朗能开关NB8系列二三级五孔插座,￥16.2
2025-11-23 19:55:29,迷城体育,棒球手胶加厚球棒握把带手缠带,￥120
2025-12-17, ,发球机球,￥1920
2025-12-17, ,球衣,￥2720
2025-12-17, ,裤子,￥3360
2025-12-17, ,棒球钥匙圈,￥71.95
2025-12-17, ,皮带,￥288
2025-12-17, ,餐补,￥625
2025-12-18 11:16:08,宝矿力水特电解质固体饮料、小象烘焙厚切水牛乳黄油吐司面包,宝矿力水特电解质固体饮料13g*8条、小象烘焙厚切水牛乳黄油吐司面包400g(5袋),￥48.70
2025-12-22 20:28, ,奖状 ,￥100
2025-12-22 20:28, ,球衣运费 ,￥115
2026-01-10 15:45:17,海底捞火锅(塘朗城店),无,￥1964.16
2026-03-04,cosco,无,￥784.6
2026-03-04,尊宝披萨 阿达西新鲜羊肉串,无,￥604.28
2026-03-11,甲朔造物台球用品工作室,台湾进口南宝树脂105胶水台球杆,￥43
2026-04-03 02:13:19,le**g,健身房地炮筒,¥185
2026-04-03 02:38:55,淘宝夏去秋已来的小店,工业盐烧根灭树粉烂根剂灭根粉专,￥9.61
2026-03-18,亚标工程照明品牌店,亚明防眩晕led户外投光灯防水,￥1945.05
2026-03-20, ,球场工具,￥63
2026-04-03 02:18:55,淘宝夏去秋已来的小店,工业盐烧根灭树粉烂根剂灭根粉专（灌木/大树/杂草【大袋装10斤】）,¥9.61
2026-03-23,淘宝芽芽花园,喷壶气压式喷水壶浇花清洁专用（3L喷壶+防风加长杆【带量杯/锁定】×2）,¥33.68
2026-03-23,淘宝木森堂,砖缝除草神器庭院强力除地黄铁线（3瓶装【一喷见效】买二送一）,¥48.99
2026-03-25,,发球机配件,¥13.00
2026-03-26,,整地铁网,¥600.00
2026-03-26,,划线车,¥1650.00
2026-04-08,,女队队服,¥1920.00
2026-04-10,,球场灯安装,¥7200.00
2026-04-15,,扫把锁头,¥415.00
2026-04-22,八喜冰淇淋蛋糕(西丽店),团队蛋糕报销,¥451.00
